,run,time_mean,time_med,time_min,time_max,time_var,size,pattern,sparsity,algorithm,gflops_mean,gflops_med,gflops_min,gflops_max,gflops_var,rel_error_mean,rel_error_med,rel_error_min,rel_error_max,rel_error_var
21,avg,1619.2159179666664,1615.552124,1614.526489,1654.714111,122.12398405254429,8192,blockrandom,0.7,Dense on GPU Coalescence,679.0695657124628,680.5794824934787,664.4722616836377,681.0118231364614,20.716786259733908,0.0,0.0,0.0,0.0,0.0
22,avg,1614.2354980000002,1613.5526734999999,1612.391113,1627.682983,9.516375276493855,8192,blockrandom,0.8,Dense on GPU Coalescence,681.1369749953151,681.4228291705336,675.5072328331886,681.9137236065875,1.6722839344417586,0.0,0.0,0.0,0.0,0.0
23,avg,1618.7748454666666,1617.959961,1615.730469,1644.901489,25.122463444796992,8192,blockrandom,0.4,Dense on GPU Coalescence,679.2307588886596,679.566648343261,668.4361556778917,680.5043594037713,4.293062861079734,0.0,0.0,0.0,0.0,0.0
24,avg,1617.6911621,1617.4171755,1616.399658,1620.60376,0.9826678422894948,8192,blockrandom,0.9,Dense on GPU Coalescence,679.6798130494211,679.7947030833502,678.4580259001743,680.2226307919697,0.17324599675006386,0.0,0.0,0.0,0.0,0.0
25,avg,1619.4879720000001,1618.2830199999999,1616.685425,1654.572021,44.4699643008478,8192,blockrandom,0.6,Dense on GPU Coalescence,678.9363702540267,679.4309863447112,664.5293246959843,680.102393931089,7.503190783852466,0.0,0.0,0.0,0.0,0.0
26,avg,1617.7587605666668,1617.481567,1614.739502,1629.210938,5.235631978720023,8192,blockrandom,0.5,Dense on GPU Coalescence,679.6524724452971,679.7676405208824,674.8737085731498,680.9219855054986,0.9131697967501738,0.0,0.0,0.0,0.0,0.0
27,avg,1615.0297240666666,1614.9085690000002,1613.148193,1624.069824,3.5003721137862702,8192,blockrandom,0.3,Dense on GPU Coalescence,680.8005026386084,680.8506988528354,677.0100715669722,681.593689003376,0.6165945906628418,0.0,0.0,0.0,0.0,0.0
28,avg,248.85632633333333,247.18942249999998,235.845856,299.649017,135.40055348977788,5376,blockrandom,0.7,Dense WMMA,1251.0049863497634,1257.1266321175458,1037.0385922273858,1317.5876821511758,2605.7081811823723,0.10138006666666666,0.10138,0.101222,0.101495,3.661167816091871e-09
29,avg,246.3047042666667,246.162941,236.4375,276.793335,44.20956468107478,5376,blockrandom,0.8,Dense WMMA,1262.463304726582,1262.368691556905,1122.670077124509,1314.2906465852498,1001.8120290895789,0.06447076666666667,0.064484,0.064273,0.064655,9.43521954023024e-09
30,avg,244.9960703666667,246.40160350000002,225.961914,250.109955,24.956367141310434,5376,blockrandom,0.4,Dense WMMA,1268.9105500643004,1261.1431055638025,1242.443927319886,1375.2211124924354,731.2065141547951,0.20743426666666667,0.2074435,0.207359,0.207517,1.2792367816094198e-09
31,avg,250.2392526666667,249.52169800000001,242.235397,284.10675,47.08500382989651,5376,blockrandom,0.9,Dense WMMA,1242.6170879424462,1245.373098539499,1093.7705448814577,1282.8331391716465,947.9994101340777,0.03112943333333333,0.0311445,0.030991,0.031217,3.633219540229918e-09
32,avg,242.58722889999996,243.9285815,232.870911,245.92691,12.29213819146326,5376,blockrandom,0.6,Dense WMMA,1281.2374819009713,1273.9286840586196,1263.5770308828749,1334.4199729265456,359.5435076392155,0.13088836666666664,0.130877,0.130578,0.131089,1.2827550574712728e-08
33,avg,246.58381703333328,248.17478949999997,232.796967,252.184998,30.06907013980686,5376,blockrandom,0.5,Dense WMMA,1260.8319683368807,1252.1356495348105,1232.2207792550769,1334.8438287514286,835.2727375224322,0.1760179,0.176009,0.175888,0.176141,3.6382310344829645e-09
34,avg,242.65074566666667,243.591118,220.873535,246.110428,20.482494758698852,5376,blockrandom,0.3,Dense WMMA,1281.1013207224146,1275.6990912350898,1262.634815100155,1406.9027996133625,663.1752781097028,0.22987349999999998,0.22986499999999999,0.229806,0.229952,1.5469482758620113e-09
35,avg,0.6904725333333332,0.686032,0.678528,0.741376,0.00018286930508505756,1280,blockrandom,0.7,Dense WMMA,6076.700311559453,6113.8606078624,5657.458563535912,6181.475193359744,13013.530271622203,0.005202099999999999,0.0051975,0.005157,0.005257,4.863689655172423e-10
36,avg,0.6858368,0.683712,0.674816,0.717824,7.31829212689655e-05,1280,blockrandom,0.8,Dense WMMA,6116.497347352201,6134.607727792215,5843.081312410842,6215.477996965099,5532.508895258358,0.0032554333333333334,0.003257,0.003198,0.003291,3.8590919540229986e-10
37,avg,0.6918080000000001,0.687616,0.681088,0.821248,0.0006114453715862065,1280,blockrandom,0.4,Dense WMMA,6069.192071840461,6099.780001419345,5107.2319201995015,6158.24093215561,34090.79473271246,0.011200566666666665,0.011202,0.011151,0.011238,4.591505747126437e-10
38,avg,0.6881546666666668,0.688128,0.680064,0.701728,1.6685909333333293e-05,1280,blockrandom,0.9,Dense WMMA,6095.208441498483,6095.238095238095,5977.107939258516,6167.513645774516,1295.813370387705,0.0014418999999999996,0.001443,0.001423,0.001464,7.823103448275876e-11
39,avg,0.6934944000000001,0.685136,0.678912,0.910336,0.0017139909843862076,1280,blockrandom,0.6,Dense WMMA,6064.230363677797,6121.8561821091735,4607.424071991001,6177.978883861237,78560.22636399219,0.006947499999999999,0.0069555,0.006866,0.007003,1.5669482758620722e-09
40,avg,0.6912864,0.687808,0.679936,0.784,0.0003359392414896554,1280,blockrandom,0.5,Dense WMMA,6071.086310194054,6098.080269658264,5349.877551020408,6168.674698795181,20830.660161897536,0.0092264,0.009226999999999999,0.009181,0.009292,6.238344827586226e-10
41,avg,0.6985162666666668,0.6856800000000001,0.678752,0.879616,0.00186394888709885,1280,blockrandom,0.3,Dense WMMA,6023.091625215104,6116.999932699929,4768.335273573924,6179.435198717647,96174.57982779792,0.012629933333333336,0.0126305,0.012596,0.012666,3.456505747126446e-10
42,avg,20.938372300000005,19.536064500000002,19.521729,61.601856,58.98409681117697,4096,blockrandom,0.7,Dense WMMA,6874.964962575307,7035.14023898131,2231.084619788079,7040.306392533162,769294.0411113913,0.05859226666666666,0.0586035,0.058472,0.058691,3.5473057471264164e-09
43,avg,19.53703043333333,19.5401925,19.518463,19.55328,8.437807184022859e-05,4096,blockrandom,0.8,Dense WMMA,7034.793917026518,7033.654018001203,7028.946216286986,7041.484438195774,10.945536928329904,0.037644866666666665,0.0376395,0.037563,0.037746,2.548050574712666e-09
44,avg,19.540899133333333,19.5424645,19.520512,19.595264,0.00018619758922298134,4096,blockrandom,0.4,Dense WMMA,7033.4029788734515,7032.836326822589,7013.886287625418,7040.745318155589,24.06092385854961,0.12077370000000004,0.12077650000000001,0.120637,0.120906,4.371251724137989e-09
45,avg,19.53697933333334,19.5396155,19.520609,19.557377,9.596976560919096e-05,4096,blockrandom,0.9,Dense WMMA,7034.812523176103,7033.861772092725,7027.47374926607,7040.710331936878,12.444901174975444,0.017690933333333332,0.0176945,0.017613,0.017748,1.0975126436781598e-09
46,avg,20.985167,19.540368,19.52256,62.978046,62.90382205349918,4096,blockrandom,0.6,Dense WMMA,6873.007944351435,7033.590857198236,2182.33118048788,7040.00671387359,784876.2707876737,0.0782398,0.0782515,0.078144,0.07829,1.6991310344826555e-09
47,avg,19.549375833333336,19.5420315,19.523775,19.665312,0.0011477759408333222,4096,blockrandom,0.5,Dense WMMA,7030.37027158299,7032.99211610103,6988.902768082195,7039.568601461551,147.1096552266694,0.09333686666666666,0.093352,0.093163,0.093516,1.1555981609195595e-08
48,avg,19.5419095,19.5394565,19.521536,19.675009,0.0007128593181896436,4096,blockrandom,0.3,Dense WMMA,7033.048641415358,7033.918999838359,6985.4582263215225,7040.375996642887,91.28248623989312,0.14322179999999998,0.14321850000000003,0.143142,0.143303,1.192993103448493e-09
49,avg,846.4279398333333,846.046692,844.621826,859.383545,6.538742945148417,8192,blockrandom,0.7,Dense WMMA,1299.0133577355648,1299.587414884657,1279.4189907092066,1301.7797953234517,14.997015575251522,0.24099653333333335,0.240986,0.240881,0.24118,5.701843678160955e-09
50,avg,843.6402689666666,843.6614685,842.720276,845.222778,0.3637709939341591,8192,blockrandom,0.8,Dense WMMA,1303.295031380127,1303.2616392808438,1300.8542320377458,1304.717186816566,0.8675273457523041,0.15626806666666665,0.156269,0.156114,0.156414,4.0588229885059225e-09
51,avg,850.4643208333333,850.0803525,848.647156,864.84375,7.700526591752916,8192,blockrandom,0.4,Dense WMMA,1292.8499686981995,1293.4208224305685,1271.3413582233784,1295.6051522736736,17.255189345795568,0.4904608333333334,0.490467,0.490267,0.490733,1.100476436781559e-08
52,avg,847.9420307999998,845.5798950000001,844.262695,884.684814,91.65628689483748,8192,blockrandom,0.9,Dense WMMA,1296.836427902851,1300.304837626961,1242.8286440282448,1302.3335441535764,198.80162973419627,0.07521053333333333,0.0752115,0.075033,0.075315,3.542119540229861e-09
53,avg,851.9807088666668,851.962921,850.232483,853.399353,0.5033737896673627,8192,blockrandom,0.6,Dense WMMA,1290.5366910909786,1290.5627706196428,1288.3905101531052,1293.1893920312616,1.155129440688008,0.3195935333333334,0.31957199999999997,0.319468,0.319724,4.233567816092287e-09
54,avg,852.7550190999999,852.3704225,850.899414,869.279724,10.100565164236983,8192,blockrandom,0.5,Dense WMMA,1289.3810132986569,1289.9457783965995,1264.8536454026391,1292.175796205214,22.28504352016706,0.37632309999999997,0.37627900000000003,0.375826,0.376952,7.189078275862056e-08
55,avg,843.4097717333334,843.5147400000001,841.600342,844.708008,0.38807475136716085,8192,blockrandom,0.3,Dense WMMA,1303.6512555826387,1303.4883642414216,1301.6469802142565,1306.4533994402773,0.9280248829789506,0.5799654,0.579976,0.579818,0.580062,3.712524137932059e-09
56,avg,198.20872443333334,196.63564300000002,195.232986,223.678787,40.73119945460285,5376,blockrandom,0.7,SpMM 1 Co,1569.195947393991,1580.321808977336,1389.2582256895018,1591.675674888259,2071.005010896639,0.0,0.0,0.0,0.0,0.0
57,avg,130.56882423333334,130.53530849999999,130.079742,131.182816,0.09095095276356427,5376,blockrandom,0.8,SpMM 1 Co,2379.9647277724484,2380.56352970104,2368.813265542341,2388.900761749665,30.177236913808052,0.0,0.0,0.0,0.0,0.0
58,avg,376.949765,376.603134,367.575317,402.876282,30.498487930507878,5376,blockrandom,0.4,SpMM 1 Co,824.5372575328889,825.1362628724067,771.3226333636587,845.3984268807691,132.98485134527039,0.0,0.0,0.0,0.0,0.0
59,avg,68.64206983333334,66.2164805,65.900543,105.857025,85.05951819478503,5376,blockrandom,0.9,SpMM 1 Co,4581.680758230488,4692.905790128953,2935.540600654515,4715.402644739968,177025.63755443256,0.0,0.0,0.0,0.0,0.0
60,avg,258.9883951666667,257.72340399999996,254.787933,289.509216,42.197496355007694,5376,blockrandom,0.6,SpMM 1 Co,1200.516874707096,1205.7407509988675,1073.3599401270874,1219.6323079083968,753.8666726244381,0.0,0.0,0.0,0.0,0.0
61,avg,316.8527934333333,316.3378755,308.194305,347.013336,36.64645008485793,5376,blockrandom,0.5,SpMM 1 Co,981.0529299419469,982.3281335540826,895.4917938715762,1008.2846753187084,302.8011051346986,0.0,0.0,0.0,0.0,0.0
62,avg,438.9680338,437.87161249999997,432.217255,464.410767,30.362205430235726,5376,blockrandom,0.3,SpMM 1 Co,708.0085404089907,709.6774167687234,669.1222874942519,718.9615665667952,73.08994548989808,0.0,0.0,0.0,0.0,0.0
63,avg,3.5156053000000003,2.189312,2.171072,41.977119,52.76904873844602,1280,blockrandom,0.7,SpMM 1 Co,1855.3095374263294,1915.809586564817,99.91881529554232,1931.904607493441,110035.45693460232,0.0,0.0,0.0,0.0,0.0
64,avg,1.5077621333333333,1.502256,1.490016,1.606656,0.0004224524488091955,1280,blockrandom,0.8,SpMM 1 Co,2782.2829826026577,2792.0046719079464,2610.5799872530274,2814.9388999849666,1302.7765348749779,0.0,0.0,0.0,0.0,0.0
65,avg,4.219851733333333,4.2189119999999996,4.1984,4.25984,0.00016977570309884962,1280,blockrandom,0.4,SpMM 1 Co,993.9549535615437,994.1674435786904,984.6153846153846,999.0243902439024,9.359666444455733,0.0,0.0,0.0,0.0,0.0
66,avg,0.8170133333333335,0.8162879999999999,0.803008,0.82944,3.802269719540213e-05,1280,blockrandom,0.9,SpMM 1 Co,5133.986106414788,5138.2651235147405,5056.79012345679,5223.240615286522,1503.3178594086523,0.0,0.0,0.0,0.0,0.0
67,avg,2.8837919999999992,2.867632,2.849792,3.286016,0.005915050955034485,1280,blockrandom,0.6,SpMM 1 Co,1455.3255923840163,1462.637144959473,1276.4100966033031,1471.793029105282,1179.1349636338123,0.0,0.0,0.0,0.0,0.0
68,avg,3.549917866666667,3.546624,3.52288,3.650432,0.0005261843020505738,1280,blockrandom,0.5,SpMM 1 Co,1181.568230443047,1182.6187629169865,1148.988393702444,1190.589517667363,56.16795805361335,0.0,0.0,0.0,0.0,0.0
69,avg,4.900202666666667,4.890079999999999,4.866048,5.077728,0.001939623959540226,1280,blockrandom,0.3,SpMM 1 Co,856.0101296667028,857.7168554322241,826.019826189981,861.952861952862,56.194538875747945,0.0,0.0,0.0,0.0,0.0
70,avg,78.27287596666669,78.308754,77.73082,78.550819,0.03086607397748231,4096,blockrandom,0.7,SpMM 1 Co,1755.9035935818504,1755.0906238062869,1749.6819921381086,1768.1397606766532,15.5973148147439,0.0,0.0,0.0,0.0,0.0
71,avg,52.955891400000006,52.9797115,52.520992,53.304321,0.0245183711959035,4096,blockrandom,0.8,SpMM 1 Co,2595.369689896323,2594.1808596559504,2578.3829695907766,2616.838491397877,58.93257278100542,0.0,0.0,0.0,0.0,0.0
72,avg,166.63825686666667,166.7379225,165.093369,167.152985,0.16882568453143088,4096,blockrandom,0.4,SpMM 1 Co,824.779182922859,824.2813120016497,822.2345145197377,832.4922697046663,4.178195638676513,0.0,0.0,0.0,0.0,0.0
73,avg,27.165627866666664,27.1933115,26.939104,27.291649,0.008795669113705714,4096,blockrandom,0.9,SpMM 1 Co,5059.354488185333,5054.146213800738,5035.934379487293,5101.838334044072,306.7437289411513,0.0,0.0,0.0,0.0,0.0
74,avg,105.75518396666666,104.61162949999999,104.166656,138.560379,38.421364620867585,4096,blockrandom,0.6,SpMM 1 Co,1302.9259323559227,1313.801860589448,991.9065930961405,1319.4140884392027,3455.69491606127,0.0,0.0,0.0,0.0,0.0
75,avg,136.28323776666667,135.0037615,134.478851,173.346176,49.0428612373385,4096,blockrandom,0.5,SpMM 1 Co,1010.5237043529133,1018.0379575887641,792.8582945608215,1022.0116579669468,1692.4514967401813,0.0,0.0,0.0,0.0,0.0
76,avg,197.0878870666667,197.202484,195.66188,197.6465,0.2164536964804789,4096,blockrandom,0.3,SpMM 1 Co,697.3523234888893,696.943318331822,695.3776235450666,702.4309153729894,2.7257429844243894,0.0,0.0,0.0,0.0,0.0
77,avg,667.3624308666666,664.6790464999999,652.290039,697.966858,102.63743678554532,8192,blockrandom,0.7,SpMM 1 Co,1647.9055997519065,1654.199379637144,1575.3063561307376,1685.617688508041,594.134700206493,0.0,0.0,0.0,0.0,0.0
78,avg,462.6923247000001,462.683792,456.35379,466.162689,5.217087327457653,8192,blockrandom,0.8,SpMM 1 Co,2376.390393940449,2376.378094864671,2358.6435674091454,2409.340410596787,138.32978097612363,0.0,0.0,0.0,0.0,0.0
79,avg,1249.9553385666666,1249.1954345,1236.162598,1298.332764,125.30749563429846,8192,blockrandom,0.4,SpMM 1 Co,879.7073983351394,880.1758295134495,846.8642695178876,889.4555049270307,59.32536772641215,0.0,0.0,0.0,0.0,0.0
80,avg,242.9884912666667,242.9214705,241.782501,244.943878,0.4437917193615158,8192,blockrandom,0.9,SpMM 1 Co,4524.986349924742,4526.201926867117,4488.830816077795,4547.523593429948,153.49929096002316,0.0,0.0,0.0,0.0,0.0
81,avg,859.3852457666667,861.1824340000001,844.584961,872.035339,37.63003786597942,8192,blockrandom,0.6,SpMM 1 Co,1279.4796389352316,1276.746727944931,1260.8567320641578,1301.8366162643524,83.84668795850862,0.0,0.0,0.0,0.0,0.0
82,avg,1053.6890706,1052.6028445000002,1037.685791,1083.186157,80.59807343513214,8192,blockrandom,0.5,SpMM 1 Co,1043.56031909488,1044.564571415996,1015.0717129004078,1059.580498559607,77.66972776468178,0.0,0.0,0.0,0.0,0.0
83,avg,1460.2431884333334,1459.302124,1445.657837,1480.457031,62.63218215878231,8192,blockrandom,0.3,SpMM 1 Co,752.9860535101427,753.450324640128,742.6839177043295,760.561454885953,16.556381043224636,0.0,0.0,0.0,0.0,0.0
84,avg,18.833801500000003,17.9727365,17.886208,43.885567,22.389502319050948,5376,blockrandom,0.7,SpMM with Tensors,16952.347939661242,17289.943304304572,7080.860884217355,17373.58722161791,3478113.5374022033,0.10138006666666666,0.10138,0.101222,0.101495,3.661167816091871e-09
85,avg,12.6404885,11.217856000000001,11.134976,53.912575,60.76409205429219,5376,blockrandom,0.8,SpMM with Tensors,26971.4776721241,27701.157603358544,5763.916762499287,27907.34302004782,16051407.241312461,0.06447076666666667,0.064484,0.064273,0.064655,9.43521954023024e-09
86,avg,37.09156596666666,36.245166999999995,36.178944,61.488129,21.23385729588328,5376,blockrandom,0.4,SpMM with Tensors,8455.006422135186,8573.490576262207,5053.781921905609,8589.18366307209,412789.5056691847,0.20743426666666667,0.2074435,0.207359,0.207517,1.2792367816094198e-09
87,avg,5.724558933333332,5.721632,5.67808,5.771424,0.00048477944820230216,5376,blockrandom,0.9,SpMM with Tensors,54284.01421962252,54311.00723342714,53842.44767877044,54727.5830477908,43593.24674476737,0.03112943333333333,0.0311445,0.030991,0.031217,3.633219540229918e-09
88,avg,26.151716299999997,26.1274395,26.05056,26.557535,0.009112152213044879,5376,blockrandom,0.6,SpMM with Tensors,11882.644809606352,11893.53445305824,11700.920087349974,11928.633962264152,1842.8763482491604,0.13088836666666664,0.130877,0.130578,0.131089,1.2827550574712728e-08
89,avg,33.232612100000004,31.784544,31.720448,75.058174,62.40501653595228,5376,blockrandom,0.5,SpMM with Tensors,9587.090049557677,9776.688783241021,4140.089988759918,9796.44407140782,1058520.9061997978,0.1760179,0.176009,0.175888,0.176141,3.6382310344829645e-09
