,run,time,size,pattern,sparsity,algorithm,gflops,rel_error
94,26,159.06311,8192,blockrandom,0.4,SpMM with Tensors,6912.423803206161,0.490479
95,26,84.124413,8192,blockrandom,0.4,cuBLAS GeMM,13070.065972121552,0.088003
96,26,45.84243,8192,blockrandom,0.4,cuBLAS GeMM with Tensors,23984.584320159294,0.088003
97,26,677.612732,8192,blockrandom,0.4,cuSPARSE CSR,1622.6253962654291,0.007143
98,12,5.395456,1280,blockrandom,0.3,Dense on GPU Coalescence,777.3771114063389,inf
99,12,0.687104,1280,blockrandom,0.3,Dense WMMA,6104.321907600596,0.012642
100,12,4.90176,1280,blockrandom,0.3,SpMM 1 Co,855.6730643687165,0.0
101,12,0.35632,1280,blockrandom,0.3,SpMM with Tensors,11771.17198024248,0.012642
102,12,33.559551,1280,blockrandom,0.3,cuBLAS GeMM,124.9809331477647,0.006014
103,12,6.329344,1280,blockrandom,0.3,cuBLAS GeMM with Tensors,662.6759424041418,0.006014
104,12,7.886848,1280,blockrandom,0.3,cuSPARSE CSR,531.8099195014282,0.000438
105,7,167.811066,4096,blockrandom,0.3,Dense on GPU Coalescence,819.0100733404554,inf
106,7,19.532801,4096,blockrandom,0.3,Dense WMMA,7036.315655496618,0.143218
107,7,197.465088,4096,blockrandom,0.3,SpMM 1 Co,696.0164698683344,0.0
108,7,15.061184,4096,blockrandom,0.3,SpMM with Tensors,9125.375101452848,0.143218
109,7,36.984543,4096,blockrandom,0.3,cuBLAS GeMM,3716.1187437681738,0.143218
110,7,10.892288,4096,blockrandom,0.3,cuBLAS GeMM with Tensors,12618.005828711102,0.143218
111,7,99.438751,4096,blockrandom,0.3,cuSPARSE CSR,1382.146819925363,0.002728
112,9,429.004608,5376,blockrandom,0.8,Dense on GPU Coalescence,724.345587336908,inf
113,9,248.808441,5376,blockrandom,0.8,Dense WMMA,1248.9431367483228,0.064655
114,9,130.402206,5376,blockrandom,0.8,SpMM 1 Co,2382.993388562767,0.0
115,9,11.215872,5376,blockrandom,0.8,SpMM with Tensors,27706.057518488087,0.064655
116,9,43.843266,5376,blockrandom,0.8,cuBLAS GeMM,7087.692663042028,0.064655
117,9,16.954496,5376,blockrandom,0.8,cuBLAS GeMM with Tensors,18328.32982779317,0.064655
118,9,62.779392,5376,blockrandom,0.8,cuSPARSE CSR,4949.834409864944,0.002053
119,3,430.34256,5376,blockrandom,0.6,Dense on GPU Coalescence,722.0935683238023,inf
120,3,245.175705,5376,blockrandom,0.6,Dense WMMA,1267.4485620506323,0.130776
121,3,257.939514,5376,blockrandom,0.6,SpMM 1 Co,1204.730480929727,0.0
122,3,26.186752,5376,blockrandom,0.6,SpMM with Tensors,11866.595549994134,0.130776
